Organ	Predictor	UKBPPP.Protein.ID	Assay.Target	UniProt.ID	Olink.ID	Protein.Panel	Gene.Symbol	QR0.025	QR0.1	QR0.2	QR0.3	QR0.4	QR0.5	QR0.6	QR0.7	QR0.8	QR0.9	QR0.975
Organismal	CXCL5	CXCL5:P42830:OID20207:v1	CXCL5	P42830	OID20207	Cardiometabolic	CXCL5	0	0	0.0626406346475237	0.0505009645144588	0.0812238038430384	0.0730279541123081	0.10751043051912	0.135184529217599	0.0845310268412578	0.0845621863354678	0.00415312851753204
Organismal	CXCL8	CXCL8:P10145:OID21430:v1	CXCL8	P10145	OID21430	Oncology	CXCL8	0	0	0.000016377908417551	0	-0.00755830818959378	-0.0225050300632572	-0.00324382934661547	0	0	0	0.0307550347716248
Organismal	CXCL9	CXCL9:Q07325:OID20675:v1	CXCL9	Q07325	OID20675	Inflammation	CXCL9	0.164606668372608	0.122302785059386	0.0888783543777907	0.154748063055762	0.13701405280585	0.168540595229832	0.177330912329243	0.117706452080045	0.0785673849079816	0.0237335418533123	0.0384928988855311
Organismal	CYB5A	CYB5A:P00167:OID31171:v1	CYB5A	P00167	OID31171	Oncology_II	CYB5A	0	-0.00417294158640273	-0.0566363186291266	-0.0201779839791765	-0.027894660489982	-0.00477160602351768	0	-0.0172092302025911	-0.0103864669334214	-0.0010349780671874	0
Organismal	CYB5R2	CYB5R2:Q6BCY4:OID31512:v1	CYB5R2	Q6BCY4	OID31512	Oncology_II	CYB5R2	0	0.0430772895526884	0.0744781468151109	0.0509457924476261	0.0498761882887712	0.0218219995329265	0	0.00461059014284862	0	0	0
Organismal	CYTH3	CYTH3:O43739:OID31208:v1	CYTH3	O43739	OID31208	Oncology_II	CYTH3	-0.037628863559507	-0.0452926053834	-0.0382788890341199	-0.00126091105274092	0	0	0	0	0	0	0
Organismal	DAAM1	DAAM1:Q9Y4D1:OID30664:v1	DAAM1	Q9Y4D1	OID30664	Inflammation_II	DAAM1	0	0	0	0	0	0	0	0	0	0	0
Organismal	DAB2	DAB2:P98082:OID21428:v1	DAB2	P98082	OID21428	Oncology	DAB2	0	0	0.0358540239537509	0	0	0.0405653494300744	0.000733434019755801	0.00904458206848732	0	0	0
Organismal	DAG1	DAG1:Q14118:OID20774:v1	DAG1	Q14118	OID20774	Inflammation	DAG1	0	0	0	0.00227263869019664	0	0	0	0.0427737506619461	0.0564530032094334	0	0
Organismal	DAND5	DAND5:Q8N907:OID30420:v1	DAND5	Q8N907	OID30420	Inflammation_II	DAND5	0	0	-0.0110572933107045	0	0	0	0	0.00494259065023993	-0.00144195042689893	0	0
Organismal	DAPK2	DAPK2:Q9UIK4:OID30505:v1	DAPK2	Q9UIK4	OID30505	Inflammation_II	DAPK2	0	0	-0.0263662023797101	0	-0.000587184512739335	-0.0149975809597537	0	0	-0.00586217081464486	-0.0186256812326788	0
Organismal	DAPP1	DAPP1:Q9UN19:OID20524:v1	DAPP1	Q9UN19	OID20524	Inflammation	DAPP1	0	0	0.0405153367389877	0.0315908859041646	0.100903523928308	0.0246882593751245	0	0	0.00133848854020967	0	0
Organismal	DARS1	DARS1:P14868:OID20903:v1	DARS1	P14868	OID20903	Neurology	DARS1	0.0138731726700685	0	0	0	0	0	0	0	0.0322191649029458	0.0262826106470006	0
Organismal	DBH	DBH:P09172:OID30703:v1	DBH	P09172	OID30703	Inflammation_II	DBH	0	0	0	0	0	0	-0.00708601688449273	-0.0149837124398676	0	-0.0471380850099235	0
Organismal	DBI	DBI:P07108:OID21143:v1	DBI	P07108	OID21143	Neurology	DBI	0	0	-0.0575498945829062	-0.0543687432337246	-0.0342024952182154	-0.0307937930631442	-0.0182230384199151	-0.068729611636275	-0.0169573335715796	-0.0215168047643715	0
Organismal	DBN1	DBN1:Q16643:OID30549:v1	DBN1	Q16643	OID30549	Inflammation_II	DBN1	0	0	0	0	0	0	0	0	0	0	0
Organismal	DBNL	DBNL:Q9UJU6:OID20681:v1	DBNL	Q9UJU6	OID20681	Inflammation	DBNL	0	0	0	0	0	0	0	0	0	0	0
Organismal	DCBLD2	DCBLD2:Q96PD2:OID21474:v1	DCBLD2	Q96PD2	OID21474	Oncology	DCBLD2	0.0483132947719829	0.098374800117408	0.161175434134939	0.134513698871078	0.132259604706507	0.107937699539172	0.108136010219982	0.0695244716216313	0.102502739183827	0.105237527798314	0.0785461157188621
Organismal	DCC	DCC:P43146:OID30953:v1	DCC	P43146	OID30953	Neurology_II	DCC	0	0	0	0	0.00303144692281052	0	0	0	0	0	0
Organismal	DCDC2C	DCDC2C:A8MYV0:OID31235:v1	DCDC2C	A8MYV0	OID31235	Oncology_II	DCDC2C	0	0	0.01746699499955	0.000206158132665845	0.00888751299035745	0.0219171236877257	0.0238474873850025	0.018197499260649	0	0	0
Organismal	DCLRE1C	DCLRE1C:Q96SD1:OID31240:v1	DCLRE1C	Q96SD1	OID31240	Oncology_II	DCLRE1C	0	-0.0173356966885841	-0.0130957775983628	-0.0201137933662596	-0.0182759746656413	-0.0159496146302204	-0.0262811447869496	-0.0101222025592587	-0.000880629832583861	0	0
